time,imsi,cellId,isServingCell?,RSRP(dBm),RSRQ(dB)
0.351,1,3,0,-89.760,-39.621
0.351,1,4,0,-56.675,-6.536
0.351,1,5,0,-72.709,-22.570
0.351,1,6,0,-82.797,-32.658
0.351,1,7,1,-57.605,-7.466
0.351,1,8,0,-86.489,-36.350
0.351,1,9,0,-85.252,-35.113
0.351,2,1,0,-60.541,-14.559
0.351,2,2,0,-74.871,-28.889
0.351,2,3,0,-86.181,-40.198
0.351,2,4,0,-79.469,-33.486
0.351,2,5,0,-53.855,-7.873
0.351,2,6,0,-82.315,-36.333
0.351,2,7,1,-51.227,-5.245
0.351,2,8,0,-79.913,-33.931
0.351,2,9,0,-79.443,-33.461
0.356,1,1,0,-60.508,-10.367
0.356,1,2,0,-89.761,-39.620
0.356,1,3,0,-89.761,-39.620
0.356,1,4,0,-56.678,-6.537
0.356,1,5,0,-72.711,-22.570
0.356,1,6,0,-82.800,-32.659
0.356,1,7,1,-57.605,-7.464
0.356,1,8,0,-86.490,-36.349
0.356,1,9,0,-85.259,-35.119
0.356,2,1,0,-60.540,-14.558
0.356,2,2,0,-74.876,-28.894
0.356,2,3,0,-86.181,-40.199
0.356,2,4,0,-79.459,-33.477
0.356,2,5,0,-53.856,-7.874
0.356,2,6,0,-82.314,-36.332
0.356,2,7,1,-51.227,-5.245
0.356,2,8,0,-79.913,-33.931
0.356,2,9,0,-79.442,-33.459
0.361,1,1,0,-60.509,-10.367
0.361,1,2,0,-89.763,-39.620
0.361,1,3,0,-89.763,-39.620
0.361,1,4,0,-56.681,-6.539
0.361,1,5,0,-72.714,-22.571
0.361,1,6,0,-82.803,-32.661
0.361,1,7,1,-57.605,-7.462
0.361,1,8,0,-86.491,-36.349
0.361,1,9,0,-85.267,-35.124
0.361,2,1,0,-60.539,-14.557
0.361,2,2,0,-74.881,-28.899
0.361,2,3,0,-86.182,-40.200
0.361,2,4,0,-79.450,-33.468
0.361,2,5,0,-53.857,-7.875
0.361,2,6,0,-82.313,-36.331
0.361,2,7,1,-51.226,-5.244
0.361,2,8,0,-79.913,-33.931
0.361,2,9,0,-79.441,-33.459
0.366,1,1,0,-60.511,-10.367
0.366,1,2,0,-89.764,-39.620
0.366,1,3,0,-89.764,-39.620
0.366,1,4,0,-56.684,-6.540
0.366,1,5,0,-72.716,-22.572
0.366,1,6,0,-82.806,-32.662
0.366,1,7,1,-57.605,-7.461
0.366,1,8,0,-86.492,-36.348
0.366,1,9,0,-85.274,-35.130
0.366,2,1,0,-60.537,-14.555
0.366,2,2,0,-74.886,-28.904
0.366,2,3,0,-86.183,-40.201
0.366,2,4,0,-79.441,-33.459
0.366,2,5,0,-53.858,-7.876
0.366,2,6,0,-82.312,-36.330
0.366,2,7,1,-51.226,-5.244
0.366,2,8,0,-79.913,-33.931
0.366,2,9,0,-79.439,-33.458
0.371,1,1,0,-60.513,-10.367
0.371,1,2,0,-89.766,-39.620
0.371,1,3,0,-89.766,-39.620
0.371,1,4,0,-56.687,-6.541
0.371,1,5,0,-72.718,-22.573
0.371,1,6,0,-82.809,-32.663
0.371,1,7,1,-57.604,-7.459
0.371,1,8,0,-86.493,-36.348
0.371,1,9,0,-85.282,-35.136
0.371,2,1,0,-60.536,-14.554
0.371,2,2,0,-74.891,-28.909
0.371,2,3,0,-86.184,-40.202
0.371,2,4,0,-79.432,-33.450
0.371,2,5,0,-53.859,-7.877
0.371,2,6,0,-82.311,-36.329
0.371,2,7,1,-51.225,-5.243
0.371,2,8,0,-79.912,-33.931
0.371,2,9,0,-79.438,-33.457
0.376,1,1,0,-60.515,-10.368
0.376,1,2,0,-89.767,-39.620
0.376,1,3,0,-89.767,-39.620
0.376,1,4,0,-56.690,-6.542
0.376,1,5,0,-72.721,-22.574
0.376,1,6,0,-82.812,-32.665
0.376,1,7,1,-57.604,-7.457
0.376,1,8,0,-86.494,-36.347
0.376,1,9,0,-85.289,-35.142
0.376,2,1,0,-60.535,-14.553
0.376,2,2,0,-74.896,-28.914
0.376,2,3,0,-86.185,-40.203
0.376,2,4,0,-79.422,-33.440
0.376,2,5,0,-53.860,-7.878
0.376,2,6,0,-82.310,-36.328
0.376,2,7,1,-51.225,-5.243
0.376,2,8,0,-79.912,-33.930
0.376,2,9,0,-79.437,-33.455
0.381,1,1,0,-60.516,-10.367
0.381,1,2,0,-89.768,-39.620
0.381,1,3,0,-89.768,-39.620
0.381,1,4,0,-56.693,-6.544
0.381,1,5,0,-72.723,-22.574
0.381,1,6,0,-82.815,-32.666
