time,bytesRx,mac_address
3.918,536,04-07-07:00:00:03:a0:0f:00
3.920,536,04-07-07:00:00:03:a0:0f:00
3.921,536,04-07-07:00:00:03:a0:0f:00
3.923,536,04-07-07:00:00:03:a0:0f:00
3.924,536,04-07-07:00:00:03:a0:0f:00
3.925,536,04-07-07:00:00:03:a0:0f:00
3.927,536,04-07-07:00:00:03:a0:0f:00
3.935,536,04-07-07:00:00:03:a0:0f:00
3.936,536,04-07-07:00:00:03:a0:0f:00
3.943,536,04-07-07:00:00:03:a0:0f:00
3.944,536,04-07-07:00:00:03:a0:0f:00
3.946,536,04-07-07:00:00:03:a0:0f:00
3.947,536,04-07-07:00:00:03:a0:0f:00
3.949,536,04-07-07:00:00:03:a0:0f:00
3.961,536,04-07-07:00:00:03:a0:0f:00
3.962,536,04-07-07:00:00:03:a0:0f:00
3.964,536,04-07-07:00:00:03:a0:0f:00
3.965,536,04-07-07:00:00:03:a0:0f:00
3.967,536,04-07-07:00:00:03:a0:0f:00
3.968,536,04-07-07:00:00:03:a0:0f:00
3.969,536,04-07-07:00:00:03:a0:0f:00
3.971,536,04-07-07:00:00:03:a0:0f:00
3.979,536,04-07-07:00:00:03:a0:0f:00
3.980,536,04-07-07:00:00:03:a0:0f:00
3.987,536,04-07-07:00:00:03:a0:0f:00
3.988,536,04-07-07:00:00:03:a0:0f:00
3.990,536,04-07-07:00:00:03:a0:0f:00
3.991,536,04-07-07:00:00:03:a0:0f:00
3.997,536,04-07-07:00:00:03:a0:0f:00
